Country,Code,Price_1,Price_2,Price_3
AFGHANISTAN,10,772.87,4733.00,5505.87
AFRIQUE DU SUD (autres villes),931,772.87,1302.23,2075.10
AFRIQUE DU SUD (Johannesburg, Pretoria),930,772.87,1434.00,2206.87
ALBANIE,15,772.87,1955.75,2728.62
ALGERIE (Annaba, Constantine),21,772.87,1718.70,2491.57
ALGERIE (autres villes),20,772.87,1652.62,2425.49
ALLEMAGNE (autres villes),25,772.87,2089.28,2862.15
ALLEMAGNE (Berlin),33,772.87,2209.81,2982.68
ALLEMAGNE (Hambourg),22,772.87,2014.66,2787.53
ALLEMAGNE (Munich),24,772.87,2261.47,3034.34
ANDORRE,30,772.87,1445.09,2217.96
ANGOLA,35,772.87,2874.75,3647.62
ANTIGUA-ET-BARBUDA,38,772.87,1741.66,2514.53
ARABIE SAOUDITE,40,772.87,2235.08,3007.95
ARGENTINE,45,772.87,1299.93,2072.80
ARMENIE,46,772.87,2014.77,2787.64
AUSTRALIE (autres villes),50,772.87,2217.79,2990.66
AUSTRALIE (Sydney),51,772.87,2283.49,3056.36
AUTRICHE,55,772.87,2047.80,2820.67
AZERBAIDJAN,60,772.87,1697.96,2470.83
BAHREIN,70,772.87,1963.58,2736.45
BANGLADESH,75,772.87,2328.25,3101.12
BARBADE,510,772.87,1558.33,2331.20
BELGIQUE,85,772.87,1915.70,2688.57
BELIZE,86,772.87,1316.62,2089.49
BENIN,240,772.87,1461.29,2234.16
BHOUTAN,89,772.87,2137.74,2910.61
BIELORUSSIE,92,772.87,1995.03,2767.90
BIRMANIE,90,772.87,2815.18,3588.05
BOLIVIE,95,772.87,1496.88,2269.75
BOSNIE-HERZEGOVINE,96,772.87,1332.88,2105.75
BOTSWANA,97,772.87,1243.90,2016.77
BRESIL (autres villes),102,772.87,1372.16,2145.03
BRESIL (Brasilia),101,772.87,1425.38,2198.25
BRESIL (Rio de Janeiro),106,772.87,1490.21,2263.08
BRESIL (São Paulo),104,772.87,1745.68,2518.55
BRUNEI,105,772.87,1462.17,2235.04
BULGARIE,110,772.87,1277.69,2050.56
BURKINA FASO,760,772.87,2966.89,3739.76
BURUNDI,115,772.87,2366.90,3139.77
CAMBODGE,140,772.87,1676.72,2449.59
CAMEROUN (autres villes),145,772.87,1657.35,2430.22
CAMEROUN (Douala, Garoua),146,772.87,1785.48,2558.35
CANADA (autres villes francophones),150,772.87,1879.82,2652.69
CANADA (Ottawa),156,772.87,1879.82,2652.69
CANADA (Toronto et autres villes anglophones),151,772.87,2449.51,3222.38
CANADA (Vancouver),152,772.87,2489.44,3262.31
CAP-VERT,153,772.87,1292.43,2065.30
CHILI,165,772.87,1620.81,2393.68
CHINE (Wuhan, Canton),172,772.87,1926.20,2699.07
CHINE (autres villes),173,772.87,1992.01,2764.88
CHINE (Hong-Kong),385,772.87,2504.40,3277.27
CHINE (Pékin),170,772.87,2143.34,2916.21
CHINE (Shanghai),171,772.87,2149.93,2922.80
CHYPRE,175,772.87,1331.45,2104.32
COLOMBIE,185,772.87,1526.80,2299.67
COMORES,187,772.87,2370.02,3142.89
CONGO,190,772.87,2112.05,2884.92
CONGO RDC (autres villes),196,772.87,4161.39,4934.26
CONGO RDC (Kinshasa),195,772.87,3831.59,4604.46
COREE DU SUD,200,772.87,1781.51,2554.38
COSTA RICA,205,772.87,1878.17,2651.04
COTE D'IVOIRE,210,772.87,1775.50,2548.37
CROATIE,230,772.87,1298.78,2071.65
CUBA,215,772.87,3567.77,4340.64
DANEMARK,245,772.87,2497.16,3270.03
DJIBOUTI,754,772.87,2107.48,2880.35
DOMINIQUE,515,772.87,1463.97,2236.84
EGYPTE,750,772.87,2145.05,2917.92
EMIRATS ARABES UNIS (Abou-Dhabi),3,772.87,1932.61,2705.48
EMIRATS ARABES UNIS (autres villes),11,772.87,1974.11,2746.98
EQUATEUR,260,772.87,1785.83,2558.70
ERYTHREE,262,772.87,2384.69,3157.56
ESPAGNE,265,772.87,1609.91,2382.78
